/home/jeong/Desktop/IPAD/.venv/lib/python3.13/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/home/jeong/Desktop/IPAD/.venv/lib/python3.13/site-packages/torch/functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4381.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
{"scene": "R01", "evaluation_step": 0, "steps": 865}
{"scene": "R01", "evaluation_step": 100, "steps": 865}
{"scene": "R01", "evaluation_step": 200, "steps": 865}
{"scene": "R01", "evaluation_step": 300, "steps": 865}
{"scene": "R01", "evaluation_step": 400, "steps": 865}
{"scene": "R01", "evaluation_step": 500, "steps": 865}
{"scene": "R01", "evaluation_step": 600, "steps": 865}
{"scene": "R01", "evaluation_step": 700, "steps": 865}
{"scene": "R01", "evaluation_step": 800, "steps": 865}
{"metrics": {"negative_psnr": {"auroc": 82.33805182923305, "auprc": 62.22703266466072, "frames": 3400}, "phase_error": {"auroc": 68.5626807292838, "auprc": 61.489332154424524, "frames": 3400}, "negative_psnr_with_phase": {"auroc": 88.12610703388209, "auprc": 78.03334739017453, "frames": 3400}}, "excluded_videos": [], "missing_videos": [], "label_shift": 0, "policy": "strict", "frames": 3400, "paper_auc": 84.4, "paper_comparable_label_coverage": true, "scene": "R01", "checkpoint": "runs/paper/R01/seed0/model.pt", "checkpoint_epoch": 50, "complete_training_protocol": true, "seconds": 24.830574404913932, "inference_seconds": 23.84036367549561, "clips": 3460, "inference_clips_per_second": 145.13201422159392, "peak_gb": 2.087618048, "protocol": "offline scene-wide normalization; centered clip and window; no test-phase oracle"}
